collection_name,dataset_id,dataset_title,tissue,disease,tissue_general,organism
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,d7476ae2-e320-4703-8304-da5c42627e71,HTAPP-330-SMP-1082 scRNA-seq,liver,breast cancer,liver,Homo sapiens
A spatial human thymus cell atlas mapped to a continuous tissue axis,fbd69faa-b0c5-45ba-89c9-da938a7f5a14,thymus scRNA-seq atlas - myeloid p2 subset,thymus,normal,endocrine gland,Homo sapiens
Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics,00ff600e-6e2e-4d76-846f-0eec4f0ae417,Human tonsil nonlymphoid cells scRNA,tonsil,normal,immune system,Homo sapiens
Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states,d3566d6a-a455-4a15-980f-45eb29114cab,blood and bone marrow from a healthy young donor,bone marrow;blood,normal,bone marrow;blood,Homo sapiens
A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,703f00e6-b996-48e5-bc34-00c41b9876f4,PNS,lung,normal,lung,Homo sapiens
"Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",a49d9109-1d0c-4b36-8139-19aa9a83428c,Healthy human liver: lymphocytes,caudate lobe of liver,normal,liver,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,eec804b9-2ae5-44f0-a1b5-d721e21257de,74 years old female - Airway Wash (5 days post-intubation),respiratory airway,COVID-19,respiratory system,Homo sapiens
A spatial human thymus cell atlas mapped to a continuous tissue axis,939d235c-50bd-41e1-83f5-d056d1aeae47,thymus scRNA-seq atlas - B cell subset,thymus,normal,endocrine gland,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,b25f3834-69b3-4d87-a272-3938432d1f30,82 years old female - Airway Wash (1 day post-intubation),respiratory airway,COVID-19,respiratory system,Homo sapiens
Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia,94423ec1-21f8-40e8-b5c9-c3ea82350ca4,UMAP of Myeloid cells,body of stomach;lower esophagus;cardia of stomach;submucosal esophageal gland;duodenum;esophagogastric junction;ileum;rectum;colon,gastritis;normal;Barrett esophagus;gastric intestinal metaplasia,stomach;esophagus;small intestine;esophagogastric junction;large intestine;colon,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,a65bcc2d-4243-44c1-a262-ab7dcddfcf86,74 years old female - Airway Wash (7 days post-intubation),respiratory airway,COVID-19,respiratory system,Homo sapiens
Tabula Muris Senis,0380ddce-c31b-422a-88fe-34a1945bd949,Aorta — A single-cell transcriptomic atlas characterizes ageing tissues in the mouse,aorta,normal,vasculature,Mus musculus
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,44941fdb-8a6f-42d5-9b34-da48c2a3f774,HTAPP-783-SMP-4081 scRNA-seq,breast,breast cancer,breast,Homo sapiens
Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states,b3a5a10f-b1cb-4e8e-abce-bf345448625b,15 leukemic bone marrow donors,bone marrow,acute myeloid leukemia;acute promyelocytic leukemia,bone marrow,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,e5f5d954-cf0e-4bd8-9346-8d1ddf15a08b,49 years old male - Airway Wash (3 days post-intubation),respiratory airway,COVID-19,respiratory system,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,62de80d7-e6c4-4ff0-ad4c-d3d36f57cb93,66 years old female - Airway Wash (4 days post-intubation),respiratory airway,COVID-19,respiratory system,Homo sapiens
Immune microniches shape intestinal Treg function,0a1ad9d5-c9e1-4253-8883-9a99593eaa0c,TCs-ILCs,mesenteric lymph node;caecum;small intestine Peyer's patch;lamina propria of small intestine,normal,lymph node;colon;small intestine,Mus musculus
Spatiotemporal analysis of human intestinal development at single-cell resolution,4269074c-f2c1-4d88-b2c3-0946f59d5449,Spatiotemporal analysis of human intestinal development at single-cell resolution: Immune,ileum;colon;hindgut,normal,small intestine;colon;digestive system,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,7d98cc44-b090-4dc8-804f-2750c84fe9d7,49 years old male - Airway Wash (1 day post-intubation),respiratory airway,COVID-19,respiratory system,Homo sapiens
Single-Cell Analysis of Human Pancreas Reveals Transcriptional Signatures of Aging and Somatic Mutation Patterns,66d15835-5dc8-4e96-b0eb-f48971cb65e8,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns,islet of Langerhans,normal,pancreas,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,8a554710-08bc-4005-87cd-da9675bdc2e7,82 years old female - Fresh PBMCs (1 day post-intubation),blood,COVID-19,blood,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,ce009dc1-ac57-4386-b72f-5c575701c253,74 years old female - Airway Wash (6 days post-intubation),respiratory airway,COVID-19,respiratory system,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,dbf0bd35-87f8-4b25-bc90-a3c54f379907,66 years old female - Airway Wash (3 days post-intubation),respiratory airway,COVID-19,respiratory system,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,731e6380-879f-4b0b-9a1f-2150208852ef,74 years old female - Airway Wash (8 days post-intubation),respiratory airway,COVID-19,respiratory system,Homo sapiens
Single-Cell RNAseq analysis of diffuse neoplastic infiltrating cells at the migrating front of human glioblastoma,774c18c5-efa1-4dc5-9e5e-2c824bab2e34,Infiltrating Neoplastic Cells Human Glioblastoma,cerebral cortex,glioblastoma,brain,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,ea786a06-5855-48b7-80d7-0313a21a2044,66 years old female - Fresh PBMCs (3 days post-intubation),blood,COVID-19,blood,Homo sapiens
Tabula Muris Senis,524179b0-b406-4723-9c46-293ffa77ca81,Kidney - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2,kidney,normal,kidney,Mus musculus
Tabula Muris Senis,cbd62079-bed8-4aa1-9659-670f9cb51f9d,Diaphragm — A single-cell transcriptomic atlas characterizes ageing tissues in the mouse,diaphragm,normal,musculature,Mus musculus
